STA,Station.Name,Latitude,Longitude,County.Name,Agency.Name,Sensor.No,Sensor,Description,Units
ANH,SAN JOAQUIN RIVER AT ANTIOCH,38.0178299,-121.8029633,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,1,RIV STG,RIVER STAGE,FEET
ANH,SAN JOAQUIN RIVER AT ANTIOCH,38.0178299,-121.8029633,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,25,TEMP W,"TEMPERATURE, WATER",DEG F
ANH,SAN JOAQUIN RIVER AT ANTIOCH,38.0178299,-121.8029633,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,28,CHLORPH,CHLOROPHYLL,ug/L
ANH,SAN JOAQUIN RIVER AT ANTIOCH,38.0178299,-121.8029633,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
ANH,SAN JOAQUIN RIVER AT ANTIOCH,38.0178299,-121.8029633,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,62,PH VAL,"WATER, PH VALUE",PH
ANH,SAN JOAQUIN RIVER AT ANTIOCH,38.0178299,-121.8029633,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
BAC,BACON ISLAND AT OLD RIVER,37.96934509,-121.5721741,SAN JOAQUIN,CA Dept of Water Resources/Operations and Maintenance,1,RIV STG,RIVER STAGE,FEET
BAC,BACON ISLAND AT OLD RIVER,37.96934509,-121.5721741,SAN JOAQUIN,CA Dept of Water Resources/Operations and Maintenance,25,TEMP W,"TEMPERATURE, WATER",DEG F
BAC,BACON ISLAND AT OLD RIVER,37.96934509,-121.5721741,SAN JOAQUIN,CA Dept of Water Resources/Operations and Maintenance,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
BDL,BELDON LANDING,38.1869,-121.9708,SOLANO,CA Dept of Water Resources/Div of Environmental Services,1,RIV STG,RIVER STAGE,FEET
BDL,BELDON LANDING,38.1869,-121.9708,SOLANO,CA Dept of Water Resources/Div of Environmental Services,25,TEMP W,"TEMPERATURE, WATER",DEG F
BDL,BELDON LANDING,38.1869,-121.9708,SOLANO,CA Dept of Water Resources/Div of Environmental Services,28,CHLORPH,CHLOROPHYLL,ug/L
BDL,BELDON LANDING,38.1869,-121.9708,SOLANO,CA Dept of Water Resources/Div of Environmental Services,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
BDL,BELDON LANDING,38.1869,-121.9708,SOLANO,CA Dept of Water Resources/Div of Environmental Services,62,PH VAL,"WATER, PH VALUE",PH
BDL,BELDON LANDING,38.1869,-121.9708,SOLANO,CA Dept of Water Resources/Div of Environmental Services,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
BDT,SAN JOAQUIN R AT BRANDT BRIDGE,37.865,-121.3231,SAN JOAQUIN,CA Dept of Water Resources/Operations and Maintenance,1,RIV STG,RIVER STAGE,FEET
BDT,SAN JOAQUIN R AT BRANDT BRIDGE,37.865,-121.3231,SAN JOAQUIN,CA Dept of Water Resources/Operations and Maintenance,20,FLOW,"FLOW, RIVER DISCHARGE",CFS
BDT,SAN JOAQUIN R AT BRANDT BRIDGE,37.865,-121.3231,SAN JOAQUIN,CA Dept of Water Resources/Operations and Maintenance,21,VLOCITY,"WATER, VELOCITY",FT/SEC
BDT,SAN JOAQUIN R AT BRANDT BRIDGE,37.865,-121.3231,SAN JOAQUIN,CA Dept of Water Resources/Operations and Maintenance,25,TEMP W,"TEMPERATURE, WATER",DEG F
BDT,SAN JOAQUIN R AT BRANDT BRIDGE,37.865,-121.3231,SAN JOAQUIN,CA Dept of Water Resources/Operations and Maintenance,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
BEN,MOKELUMNE R @ BENSON'S FERRY NR THORNTON,38.2551384,-121.4400864,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,1,RIV STG,RIVER STAGE,FEET
BET,BETHEL ISLAND,38.04109192,-121.6321869,CONTRA COSTA,CA Dept of Water Resources/North Central Region Office,25,TEMP W,"TEMPERATURE, WATER",DEG F
BET,BETHEL ISLAND,38.04109192,-121.6321869,CONTRA COSTA,CA Dept of Water Resources/North Central Region Office,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
BET,BETHEL ISLAND,38.04109192,-121.6321869,CONTRA COSTA,CA Dept of Water Resources/North Central Region Office,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
BIR,MIDDLE R AT BACON ISLAND RD,37.943056,-121.53389,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,1,RIV STG,RIVER STAGE,FEET
BIR,MIDDLE R AT BACON ISLAND RD,37.943056,-121.53389,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,25,TEMP W,"TEMPERATURE, WATER",DEG F
BIR,MIDDLE R AT BACON ISLAND RD,37.943056,-121.53389,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
BLP,BLIND POINT,38.03245163,-121.7190399,CONTRA COSTA,CA Dept of Water Resources/North Central Region Office,25,TEMP W,"TEMPERATURE, WATER",DEG F
BLP,BLIND POINT,38.03245163,-121.7190399,CONTRA COSTA,CA Dept of Water Resources/North Central Region Office,28,CHLORPH,CHLOROPHYLL,ug/L
BLP,BLIND POINT,38.03245163,-121.7190399,CONTRA COSTA,CA Dept of Water Resources/North Central Region Office,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
BLP,BLIND POINT,38.03245163,-121.7190399,CONTRA COSTA,CA Dept of Water Resources/North Central Region Office,62,PH VAL,"WATER, PH VALUE",PH
BLP,BLIND POINT,38.03245163,-121.7190399,CONTRA COSTA,CA Dept of Water Resources/North Central Region Office,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
BLP,BLIND POINT,38.03245163,-121.7190399,CONTRA COSTA,CA Dept of Water Resources/North Central Region Office,221,TURB WF,"WATER, TURBIDITY FNU",FNU
C24,SUISUN BAY AT CHANNEL MARKER 24A,38.055096,-121.954292,CONTRA COSTA,US Geological Survey,21,VLOCITY,"WATER, VELOCITY",FT/SEC
C24,SUISUN BAY AT CHANNEL MARKER 24A,38.055096,-121.954292,CONTRA COSTA,US Geological Survey,25,TEMP W,"TEMPERATURE, WATER",DEG F
C24,SUISUN BAY AT CHANNEL MARKER 24A,38.055096,-121.954292,CONTRA COSTA,US Geological Survey,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
C24,SUISUN BAY AT CHANNEL MARKER 24A,38.055096,-121.954292,CONTRA COSTA,US Geological Survey,221,TURB WF,"WATER, TURBIDITY FNU",FNU
C31,SUISUN BAY AT VAN SICKLE ISLAND,38.04953,-121.88755,CONTRA COSTA,US Geological Survey,21,VLOCITY,"WATER, VELOCITY",FT/SEC
C31,SUISUN BAY AT VAN SICKLE ISLAND,38.04953,-121.88755,CONTRA COSTA,US Geological Survey,25,TEMP W,"TEMPERATURE, WATER",DEG F
C31,SUISUN BAY AT VAN SICKLE ISLAND,38.04953,-121.88755,CONTRA COSTA,US Geological Survey,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
C31,SUISUN BAY AT VAN SICKLE ISLAND,38.04953,-121.88755,CONTRA COSTA,US Geological Survey,221,TURB WF,"WATER, TURBIDITY FNU",FNU
CIS,OLD RIVER AT CONEY ISLAND,37.84589386,-121.5379715,CONTRA COSTA,CA Dept of Water Resources/North Central Region Office,1,RIV STG,RIVER STAGE,FEET
CLC,CLIFTON COURT FOREBAY,37.8298,-121.5574,CONTRA COSTA,CA Dept of Water Resources/Operations and Maintenance,25,TEMP W,"TEMPERATURE, WATER",DEG F
CLC,CLIFTON COURT FOREBAY,37.8298,-121.5574,CONTRA COSTA,CA Dept of Water Resources/Operations and Maintenance,62,PH VAL,"WATER, PH VALUE",PH
CLC,CLIFTON COURT FOREBAY,37.8298,-121.5574,CONTRA COSTA,CA Dept of Water Resources/Operations and Maintenance,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
CLL,COLLINSVILLE,38.073981,-121.850123,SOLANO,US Bureau of Reclamation,25,TEMP W,"TEMPERATURE, WATER",DEG F
CLL,COLLINSVILLE,38.073981,-121.850123,SOLANO,US Bureau of Reclamation,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
CNT,CONTRA COSTA,37.99495,-121.702809,CONTRA COSTA,US Bureau of Reclamation,25,TEMP W,"TEMPERATURE, WATER",DEG F
CNT,CONTRA COSTA,37.99495,-121.702809,CONTRA COSTA,US Bureau of Reclamation,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
CPP,CORDELIA PUMPING PLANT (KG002111),38.2276,-122.1347,SOLANO,CA Dept of Water Resources/Operations and Maintenance,25,TEMP W,"TEMPERATURE, WATER",DEG F
CPP,CORDELIA PUMPING PLANT (KG002111),38.2276,-122.1347,SOLANO,CA Dept of Water Resources/Operations and Maintenance,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
CSE,COLLINSVILLE ON SACRAMENTO RIVER,38.074,-121.8501,SOLANO,CA Dept of Water Resources/Div of Environmental Services,1,RIV STG,RIVER STAGE,FEET
CSE,COLLINSVILLE ON SACRAMENTO RIVER,38.074,-121.8501,SOLANO,CA Dept of Water Resources/Div of Environmental Services,25,TEMP W,"TEMPERATURE, WATER",DEG F
CSE,COLLINSVILLE ON SACRAMENTO RIVER,38.074,-121.8501,SOLANO,CA Dept of Water Resources/Div of Environmental Services,28,CHLORPH,CHLOROPHYLL,ug/L
CSE,COLLINSVILLE ON SACRAMENTO RIVER,38.074,-121.8501,SOLANO,CA Dept of Water Resources/Div of Environmental Services,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
